description,groups_0_id,groups_0_rgb_r,groups_0_rgb_g,groups_0_rgb_b,groups_1_id,groups_1_rgb_r,groups_1_rgb_g,groups_1_rgb_b,groups_2_id,groups_2_rgb_r,groups_2_rgb_g,groups_2_rgb_b,groups_3_id,groups_3_rgb_r,groups_3_rgb_g,groups_3_rgb_b,groups_4_id,groups_4_rgb_r,groups_4_rgb_g,groups_4_rgb_b,groups_5_id,groups_5_rgb_r,groups_5_rgb_g,groups_5_rgb_b,groups_6_id,groups_6_rgb_r,groups_6_rgb_g,groups_6_rgb_b
,1,138,211,234,2,151,218,239,3,143,197,214,4,105,187,211,5,91,185,213,6,78,194,230,M,116,167,184
,1,114,170,186,2,51,143,164,3,23,113,133,4,38,118,141,5,0,106,133,6,0,91,116,M,14,69,92
,1,63,191,203,2,0,162,173,3,0,131,142,4,0,108,123,5,0,83,95,6,0,81,96,M,0,103,115
,1,120,209,205,2,0,170,167,3,5,138,139,4,0,116,118,5,0,92,96,6,12,71,70,M,0,104,107
,1,194,227,222,2,164,226,219,3,134,211,212,4,88,190,193,5,51,147,160,6,25,124,134,M,26,148,154
,1,203,231,226,2,152,211,211,3,125,184,186,4,123,185,180,5,121,172,172,6,70,135,127,M,98,162,147
,1,197,220,206,2,179,214,201,3,149,195,178,4,73,133,116,5,0,111,91,6,0,93,78,M,58,111,95
,1,191,215,201,2,143,180,160,3,61,116,97,4,22,66,52,5,51,84,73,6,46,60,59,M,23,55,45
,1,213,227,202,2,184,205,170,3,176,190,155,4,139,155,122,5,109,126,92,6,74,100,72,M,51,75,46
,1,152,157,132,2,169,168,143,3,122,117,90,4,129,122,102,5,180,175,159,6,126,130,115,M,141,136,100
,1,233,222,204,2,231,214,185,3,221,196,154,4,209,177,134,5,163,142,121,6,116,105,92,M,178,160,116
,1,62,72,73,2,59,65,71,3,49,53,56,4,48,47,50,5,33,34,36,6,33,35,45,M,34,31,29
,1,151,157,162,2,138,148,153,3,121,136,142,4,94,107,115,5,81,89,93,6,57,65,70,M,64,70,73
,1,197,200,202,2,169,174,178,3,141,147,149,4,125,133,137,5,80,85,92,6,68,73,81,M,146,145,145
,1,186,188,186,2,164,167,165,3,141,146,145,4,108,112,109,5,81,85,84,6,87,94,96,M,130,129,127
,1,231,227,216,2,215,213,204,3,184,180,168,4,128,128,119,5,90,93,84,6,71,65,53,M,73,68,64
,1,195,194,185,2,177,177,170,3,166,166,160,4,145,141,133,5,107,103,96,6,76,75,70,M,98,94,89
,1,216,218,219,2,207,210,213,3,193,194,196,4,154,154,155,5,122,122,121,6,91,95,95,M,164,160,159
,1,211,208,208,2,150,147,146,3,99,97,100,4,81,77,78,5,74,71,71,6,61,55,55,M,77,71,71
